Run,ddi_t,ss_t,dr_t,qe_t
1,3.746088,0.613379,0.110601,0.012060
2,4.782083,0.612782,0.104905,0.011718
3,4.704596,0.613378,0.104788,0.011668
4,4.706004,0.614039,0.106046,0.012249
5,3.809400,0.613796,0.106118,0.011519
6,3.713373,0.614140,0.097909,0.011442
7,3.746890,0.613544,0.096884,0.011685
8,3.782244,0.613410,0.110562,0.012154
9,3.760515,0.614137,0.110208,0.012929
10,4.706740,0.614359,0.103491,0.012033
11,3.773273,0.613265,0.104371,0.011625
12,4.810385,0.613307,0.112626,0.011403
13,4.870024,0.613301,0.105528,0.011357
14,3.760878,0.614166,0.113856,0.012066
15,3.706001,0.613257,0.102380,0.011590
16,3.789574,0.613073,0.109188,0.011701
17,3.775903,0.613809,0.110684,0.012254
18,4.821741,0.613990,0.108656,0.011471
19,3.749897,0.612819,0.104772,0.011548
20,3.782582,0.613142,0.105221,0.012350
21,3.816205,0.617436,0.097767,0.011314
22,3.763703,0.613151,0.111180,0.012113
23,4.783172,0.613452,0.107364,0.011777
24,3.788196,0.613630,0.103899,0.012066
25,3.827575,0.613562,0.111733,0.011616
26,4.780551,0.613675,0.104460,0.012051
27,4.682811,0.613655,0.108407,0.011856
28,4.733754,0.613686,0.113335,0.012127
29,4.789580,0.613554,0.115874,0.012482
30,4.769032,0.613485,0.107958,0.011701
31,4.797414,0.613711,0.104461,0.011824
32,3.859203,0.613771,0.105611,0.012151
33,4.759528,0.613561,0.105692,0.011926
34,4.811933,0.613832,0.107291,0.011820
35,3.798432,0.613131,0.098610,0.011645
36,3.838426,0.613301,0.105273,0.012067
37,3.778818,0.614214,0.106462,0.012464
38,3.828464,0.613972,0.116837,0.012607
39,4.751697,0.614240,0.123477,0.012237
40,5.030081,0.615158,0.132218,0.013145
41,4.923708,0.615838,0.128316,0.013241
42,4.881434,0.614741,0.118023,0.013992
43,4.917752,0.614538,0.119026,0.012989
44,4.835706,0.615449,0.114674,0.012854
45,4.913997,0.614062,0.128089,0.012476
46,4.944556,0.614292,0.118443,0.012147
47,4.897073,0.614614,0.125278,0.012087
48,4.965245,0.615065,0.116812,0.012063
49,4.988423,0.616638,0.130485,0.011960
50,5.032019,0.613689,0.122733,0.012406
51,4.966028,0.613745,0.130006,0.012037
52,4.980472,0.717055,0.120178,0.012492
53,4.956687,0.614791,0.131052,0.012081
54,4.970732,0.717982,0.129109,0.013910
55,5.078491,0.614374,0.123972,0.012367
56,4.908963,0.613996,0.114226,0.013013
57,4.985053,0.614169,0.128171,0.012748
58,4.978109,0.613774,0.125919,0.012124
59,4.880274,0.614188,0.122504,0.013308
60,5.057006,0.614499,0.133539,0.012737
61,4.826504,0.613793,0.107911,0.011503
62,4.912652,0.613838,0.118325,0.012573
63,4.930671,0.613435,0.111950,0.012014
64,4.879285,0.613708,0.108728,0.011382
65,4.866680,0.613540,0.110387,0.011254
66,4.806838,0.613401,0.110845,0.011777
67,3.715797,0.613258,0.103296,0.011596
68,3.773153,0.613065,0.101232,0.012142
69,3.744812,0.613109,0.107182,0.011653
70,3.772656,0.613058,0.111113,0.012058
71,3.806100,0.613622,0.108315,0.012046
72,4.691967,0.613311,0.104977,0.012225
73,3.756924,0.613656,0.095491,0.011712
74,3.803062,0.511413,0.097218,0.011429
75,4.742142,0.617159,0.099835,0.011901
76,4.810024,0.613498,0.110341,0.011337
77,4.922887,0.613697,0.122485,0.012017
78,4.907984,0.613826,0.108008,0.011466
79,4.786422,0.613715,0.105568,0.011420
80,4.853112,0.614084,0.117836,0.012289
81,4.996415,0.716040,0.116602,0.012194
82,4.832745,0.613534,0.107097,0.012156
83,4.860243,0.613780,0.109051,0.011849
84,4.819771,0.613763,0.113250,0.012328
85,4.840923,0.613798,0.110948,0.011826
86,3.840120,0.613656,0.109094,0.012481
87,4.864365,0.617405,0.113634,0.012440
88,3.857463,0.613706,0.112234,0.011570
89,4.792903,0.613882,0.113978,0.012925
90,4.827489,0.614319,0.108795,0.012267
91,3.917205,0.613723,0.112110,0.012287
92,4.839291,0.613605,0.116087,0.012023
93,4.871149,0.614331,0.106190,0.011921
94,4.808374,0.613437,0.116695,0.012193
95,3.959875,0.613814,0.104457,0.011826
96,4.825419,0.613841,0.118075,0.012294
97,4.889028,0.613785,0.114179,0.012297
98,4.829187,0.615597,0.111759,0.011908
99,4.888674,0.613270,0.115883,0.012221
100,4.836906,0.613519,0.120800,0.011952
