Run,ddi_t,ss_t,cd_t
1,4.831963,0.613985,0.031649
2,4.749627,0.614423,0.033293
3,4.793033,0.614279,0.031659
4,3.769764,0.512021,0.033430
5,3.765273,0.511641,0.032389
6,3.809132,0.512126,0.034013
7,4.826099,0.614780,0.032172
8,4.785931,0.512143,0.031664
9,4.811317,0.614745,0.031768
10,3.809375,0.511866,0.032868
11,3.887177,0.614186,0.031563
12,3.936185,0.613622,0.030894
13,3.978187,0.614918,0.031049
14,4.774003,0.511847,0.032461
15,4.801294,0.512047,0.032071
16,4.868063,0.511653,0.033442
17,4.863711,0.511934,0.031585
18,3.828555,0.615041,0.031546
19,4.820843,0.614542,0.031531
20,3.812421,0.511824,0.034733
21,3.815762,0.613803,0.033294
22,4.817919,0.614100,0.032710
23,4.793428,0.512748,0.032590
24,4.805855,0.511905,0.031101
25,4.857472,0.511765,0.033437
26,4.848983,0.614212,0.031609
27,3.873093,0.512079,0.034767
28,4.886191,0.614315,0.032173
29,4.918354,0.614930,0.037888
30,4.858281,0.614990,0.033713
31,4.834085,0.614947,0.033211
32,4.902111,0.614650,0.034800
33,4.790127,0.512394,0.032708
34,4.817959,0.614783,0.033617
35,4.840933,0.615390,0.032180
36,4.961314,0.512688,0.031335
37,4.908497,0.614296,0.033403
38,4.915137,0.614592,0.032635
39,4.843237,0.614551,0.033769
40,4.839342,0.614594,0.033575
41,4.943001,0.615199,0.033277
42,4.867652,0.614293,0.033049
43,4.952229,0.614431,0.033244
44,4.876571,0.512518,0.035219
45,3.856271,0.613697,0.033327
46,4.856616,0.512216,0.032729
47,4.849526,0.613829,0.033649
48,5.004112,0.512594,0.033180
49,4.827411,0.614929,0.033934
50,4.904010,0.614010,0.036196
51,4.876266,0.615630,0.032923
52,4.897861,0.512102,0.033343
53,4.967398,0.512241,0.033832
54,4.811422,0.614769,0.033683
55,4.869901,0.614274,0.031284
56,4.851350,0.614598,0.034204
57,4.917778,0.614774,0.032183
58,4.874720,0.615229,0.034603
59,4.938062,0.615371,0.035572
60,4.901573,0.513348,0.034305
61,4.769073,0.514386,0.033960
62,4.865731,0.614513,0.036480
63,4.810059,0.615162,0.032878
64,4.968463,0.615272,0.035278
65,4.878569,0.613834,0.039425
66,4.868246,0.614447,0.032927
67,4.710439,0.511612,0.029832
68,4.756728,0.511524,0.033740
69,3.793944,0.613955,0.031618
70,4.732053,0.511648,0.031713
71,4.946399,0.512144,0.031857
72,3.949730,0.615228,0.032645
73,4.916059,0.512305,0.032501
74,4.891175,0.614327,0.031750
75,4.820574,0.512394,0.032401
76,3.833259,0.613694,0.031188
77,4.848637,0.614129,0.031813
78,3.758941,0.512051,0.031237
79,4.787266,0.615268,0.036224
80,4.884912,0.514856,0.033117
81,4.744551,0.615612,0.033014
82,4.745747,0.614860,0.032276
83,4.843746,0.614624,0.033016
84,3.823694,0.614140,0.033902
85,4.858583,0.615380,0.032144
86,4.809717,0.511961,0.032401
87,3.779081,0.512665,0.033822
88,4.813709,0.512008,0.032218
89,3.859618,0.512426,0.031420
90,3.781726,0.512352,0.031227
91,4.797076,0.512428,0.033424
92,4.813540,0.616405,0.032459
93,4.768965,0.614275,0.032475
94,4.769325,0.614996,0.034500
95,4.808075,0.614470,0.033647
96,4.906291,0.615084,0.035518
97,4.781873,0.614927,0.034799
98,4.765258,0.614830,0.032164
99,3.893139,0.511926,0.031104
100,4.781147,0.615190,0.034447
